Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
04:10:15,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:16,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:17,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:18,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:19,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:20,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:21,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:22,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:23,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:24,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:25,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:26,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:27,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:28,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:29,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:30,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:31,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:32,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:33,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:34,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:35,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:36,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:37,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:38,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:39,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:40,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:41,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:42,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:43,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:44,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:45,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:46,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:47,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:48,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:49,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:50,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:51,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:52,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:53,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:54,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:55,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:56,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:57,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:58,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:10:59,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:00,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:01,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:02,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:03,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:04,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:05,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:06,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:07,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:08,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:09,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:10,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:11,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:12,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:13,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:14,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:15,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
04:11:16,0.0,94.06,30,0,0,2.9,0.0,ECO,0.0,45.003,0x120
